library_id	external_id	library_type	number_of_lanes_aggregated	sequenced_reads	preparation_id
HSM7CYZJ_H4022C8_MBX	HSM7CYZJ	metabolomics			HSM7CYZJ_H4022C8_MBX
HSM7J4G1_H4022C15_MBX	HSM7J4G1	metabolomics			HSM7J4G1_H4022C15_MBX
HSM7J4IU_H4022C19_MBX	HSM7J4IU	metabolomics			HSM7J4IU_H4022C19_MBX
HSM67VDR_H4023C1_MBX	HSM67VDR	metabolomics			HSM67VDR_H4023C1_MBX
HSM6XRQ8_H4023C6_MBX	HSM6XRQ8	metabolomics			HSM6XRQ8_H4023C6_MBX
HSM7J4HC_H4023C14_MBX	HSM7J4HC	metabolomics			HSM7J4HC_H4023C14_MBX
HSM7J4KC_H4023C19_MBX	HSM7J4KC	metabolomics			HSM7J4KC_H4023C19_MBX
HSM7J4KK_H4023C23_MBX	HSM7J4KK	metabolomics			HSM7J4KK_H4023C23_MBX
HSM67VI5_H4024C3_MBX	HSM67VI5	metabolomics			HSM67VI5_H4024C3_MBX
HSM7J4I7_H4024C17_MBX	HSM7J4I7	metabolomics			HSM7J4I7_H4024C17_MBX
HSM7J4O1_H4024C19_MBX	HSM7J4O1	metabolomics			HSM7J4O1_H4024C19_MBX
HSM7J4O3_H4024C21_MBX	HSM7J4O3	metabolomics			HSM7J4O3_H4024C21_MBX
HSM7CZ1T_H4027C2_MBX	HSM7CZ1T	metabolomics			HSM7CZ1T_H4027C2_MBX
HSM7J4GR_H4027C10_MBX	HSM7J4GR	metabolomics			HSM7J4GR_H4027C10_MBX
HSM7J4NE_H4027C14_MBX	HSM7J4NE	metabolomics			HSM7J4NE_H4027C14_MBX
HSMA33O1_H4027C19_MBX	HSMA33O1	metabolomics			HSMA33O1_H4027C19_MBX
HSMA33O5_H4027C21_MBX	HSMA33O5	metabolomics			HSMA33O5_H4027C21_MBX
HSM7J4MY_H4028C13_MBX	HSM7J4MY	metabolomics			HSM7J4MY_H4028C13_MBX
HSM7J4N4_H4028C15_MBX	HSM7J4N4	metabolomics			HSM7J4N4_H4028C15_MBX
HSM7J4NA_H4028C18_MBX	HSM7J4NA	metabolomics			HSM7J4NA_H4028C18_MBX
HSM7CZ32_H4030C3_MBX	HSM7CZ32	metabolomics			HSM7CZ32_H4030C3_MBX
HSM7CZ38_H4030C6_MBX	HSM7CZ38	metabolomics			HSM7CZ38_H4030C6_MBX
HSM7J4L9_H4030C11_MBX	HSM7J4L9	metabolomics			HSM7J4L9_H4030C11_MBX
HSM7J4OT_H4030C16_MBX	HSM7J4OT	metabolomics			HSM7J4OT_H4030C16_MBX
HSMA33K2_H4030C20_MBX	HSMA33K2	metabolomics			HSMA33K2_H4030C20_MBX
HSM7CZ3G_H4031C5_MBX	HSM7CZ3G	metabolomics			HSM7CZ3G_H4031C5_MBX
HSM7J4MK_H4031C9_MBX	HSM7J4MK	metabolomics			HSM7J4MK_H4031C9_MBX
HSM7J4OE_H4031C14_MBX	HSM7J4OE	metabolomics			HSM7J4OE_H4031C14_MBX
HSMA33JB_H4031C19_MBX	HSMA33JB	metabolomics			HSMA33JB_H4031C19_MBX
HSMA33JH_H4031C22_MBX	HSMA33JH	metabolomics			HSMA33JH_H4031C22_MBX
HSM7J4Q3_H4032C3_MBX	HSM7J4Q3	metabolomics			HSM7J4Q3_H4032C3_MBX
HSM7J4MS_H4032C7_MBX	HSM7J4MS	metabolomics			HSM7J4MS_H4032C7_MBX
HSM7J4IC_H4032C10_MBX	HSM7J4IC	metabolomics			HSM7J4IC_H4032C10_MBX
