mgen_id	mgen_group_id
MSM79HFY_G109924	core
MSM79H6Y_G111367	core
MSM79HBB_G109929	core
MSM79H54_G109900	core
MSM79H58_G111347	core
MSM79H5A_G111364	core
MSM79H9A_G109908	core
MSM79H9C_G111352	core
MSM79H9G_G109915	core
MSM79H9K_G109917	core
MSM9VZF7_G111323	core
MSM9VZFF_G109936	core
MSM9VZFH_G111320	core
MSM9VZPT_G111318	core
MSM79H5E_G109974	core
MSM79H5G_G109898	core
MSM79H5K_G109905	core
MSM79H5M_G111357	core
MSM79H9M_G109912	core
MSM79H9Q_G109926	core
MSM79H9W_G109919	core
MSM9VZGO_G109934	core
MSM9VZGS_G111310	core
MSM9VZGU_G111321	core
MSM9VZLJ_G109931	core
MSM9VZHB_G109939	core
MSM9VZHF_G109906	core
MSM79HF3_G111345	core
MSM79HF5_G109914	core
MSM79HF7_G111362	core
MSM79HF9_G109911	core
MSM79HF9_TR_M2064C5_MGX	core
MSM79HFB_G111368	core
MSM79HAJ_G109925	core
MSM79HAL_G109921	core
MSM79HAN_G111359	core
MSM79HAT_G111370	core
MSM79HAR_G111314	core
MSM9VZLL_G111316	core
MSM9VZLN_G109937	core
MSM9VZLP_G109938	core
MSM9VZLR_G111319	core
MSM9VZLV_G109932	core
